Attribute,Attribute,ISBLANK,Description,Value,Missing_value,Meaning
,D19_KK_KUNDENTYP,1,consumption movement in the last 12 months,6,[-1],passive customer
D19_KOSMETIK_RZ,D19_KOSMETIK_RZ,0,transactional activity based on the product group COSMETIC PRODUCTS  - on grid level -,0,[0],no transaction known
,D19_KOSMETIK_RZ,1,transactional activity based on the product group COSMETIC PRODUCTS  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_KOSMETIK_RZ,1,transactional activity based on the product group COSMETIC PRODUCTS  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_KOSMETIK_RZ,1,transactional activity based on the product group COSMETIC PRODUCTS  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_KOSMETIK_RZ,1,transactional activity based on the product group COSMETIC PRODUCTS  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_KOSMETIK_RZ,1,transactional activity based on the product group COSMETIC PRODUCTS  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_KOSMETIK_RZ,1,transactional activity based on the product group COSMETIC PRODUCTS  - on grid level -,6,[0],Buyer > 24 months
,D19_KOSMETIK_RZ,1,transactional activity based on the product group COSMETIC PRODUCTS  - on grid level -,7,[0],Prospects > 24 months
D19_LEBENSMITTEL_RZ,D19_LEBENSMITTEL_RZ,0,transactional activity based on the product group FOOD PRODUCTS  - on grid level -,0,[0],no transaction known
,D19_LEBENSMITTEL_RZ,1,transactional activity based on the product group FOOD PRODUCTS  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_LEBENSMITTEL_RZ,1,transactional activity based on the product group FOOD PRODUCTS  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_LEBENSMITTEL_RZ,1,transactional activity based on the product group FOOD PRODUCTS  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_LEBENSMITTEL_RZ,1,transactional activity based on the product group FOOD PRODUCTS  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_LEBENSMITTEL_RZ,1,transactional activity based on the product group FOOD PRODUCTS  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_LEBENSMITTEL_RZ,1,transactional activity based on the product group FOOD PRODUCTS  - on grid level -,6,[0],Buyer > 24 months
,D19_LEBENSMITTEL_RZ,1,transactional activity based on the product group FOOD PRODUCTS  - on grid level -,7,[0],Prospects > 24 months
D19_LOTTO_RZ,D19_LOTTO_RZ,0,transactional activity based on the product group LOTTO  - on grid level -,0,[0],no transaction known
,D19_LOTTO_RZ,1,transactional activity based on the product group LOTTO  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_LOTTO_RZ,1,transactional activity based on the product group LOTTO  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_LOTTO_RZ,1,transactional activity based on the product group LOTTO  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_LOTTO_RZ,1,transactional activity based on the product group LOTTO  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_LOTTO_RZ,1,transactional activity based on the product group LOTTO  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_LOTTO_RZ,1,transactional activity based on the product group LOTTO  - on grid level -,6,[0],Buyer > 24 months
,D19_LOTTO_RZ,1,transactional activity based on the product group LOTTO  - on grid level -,7,[0],Prospects > 24 months
D19_NAHRUNGSERGAENZUNG_RZ,D19_NAHRUNGSERGAENZUNG_RZ,0,transactional activity based on the product group DIETARY SUPPLEMENTS  - on grid level -,0,[0],no transaction known
,D19_NAHRUNGSERGAENZUNG_RZ,1,transactional activity based on the product group DIETARY SUPPLEMENTS  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_NAHRUNGSERGAENZUNG_RZ,1,transactional activity based on the product group DIETARY SUPPLEMENTS  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_NAHRUNGSERGAENZUNG_RZ,1,transactional activity based on the product group DIETARY SUPPLEMENTS  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_NAHRUNGSERGAENZUNG_RZ,1,transactional activity based on the product group DIETARY SUPPLEMENTS  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_NAHRUNGSERGAENZUNG_RZ,1,transactional activity based on the product group DIETARY SUPPLEMENTS  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_NAHRUNGSERGAENZUNG_RZ,1,transactional activity based on the product group DIETARY SUPPLEMENTS  - on grid level -,6,[0],Buyer > 24 months
,D19_NAHRUNGSERGAENZUNG_RZ,1,transactional activity based on the product group DIETARY SUPPLEMENTS  - on grid level -,7,[0],Prospects > 24 months
D19_RATGEBER_RZ,D19_RATGEBER_RZ,0,transactional activity based on the product group GUIDEBOOKS  - on grid level -,0,[0],no transaction known
,D19_RATGEBER_RZ,1,transactional activity based on the product group GUIDEBOOKS  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_RATGEBER_RZ,1,transactional activity based on the product group GUIDEBOOKS  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_RATGEBER_RZ,1,transactional activity based on the product group GUIDEBOOKS  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_RATGEBER_RZ,1,transactional activity based on the product group GUIDEBOOKS  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_RATGEBER_RZ,1,transactional activity based on the product group GUIDEBOOKS  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_RATGEBER_RZ,1,transactional activity based on the product group GUIDEBOOKS  - on grid level -,6,[0],Buyer > 24 months
,D19_RATGEBER_RZ,1,transactional activity based on the product group GUIDEBOOKS  - on grid level -,7,[0],Prospects > 24 months
D19_REISEN_RZ,D19_REISEN_RZ,0,transactional activity based on the product group TRAVEL RELATED PRODUCTS  - on grid level -,0,[0],no transaction known
,D19_REISEN_RZ,1,transactional activity based on the product group TRAVEL RELATED PRODUCTS  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_REISEN_RZ,1,transactional activity based on the product group TRAVEL RELATED PRODUCTS  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_REISEN_RZ,1,transactional activity based on the product group TRAVEL RELATED PRODUCTS  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_REISEN_RZ,1,transactional activity based on the product group TRAVEL RELATED PRODUCTS  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_REISEN_RZ,1,transactional activity based on the product group TRAVEL RELATED PRODUCTS  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_REISEN_RZ,1,transactional activity based on the product group TRAVEL RELATED PRODUCTS  - on grid level -,6,[0],Buyer > 24 months
,D19_REISEN_RZ,1,transactional activity based on the product group TRAVEL RELATED PRODUCTS  - on grid level -,7,[0],Prospects > 24 months
D19_SAMMELARTIKEL_RZ,D19_SAMMELARTIKEL_RZ,0,transactional activity based on the product group COLLECTABLE ITEMS  - on grid level -,0,[0],no transaction known
,D19_SAMMELARTIKEL_RZ,1,transactional activity based on the product group COLLECTABLE ITEMS  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_SAMMELARTIKEL_RZ,1,transactional activity based on the product group COLLECTABLE ITEMS  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_SAMMELARTIKEL_RZ,1,transactional activity based on the product group COLLECTABLE ITEMS  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_SAMMELARTIKEL_RZ,1,transactional activity based on the product group COLLECTABLE ITEMS  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_SAMMELARTIKEL_RZ,1,transactional activity based on the product group COLLECTABLE ITEMS  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_SAMMELARTIKEL_RZ,1,transactional activity based on the product group COLLECTABLE ITEMS  - on grid level -,6,[0],Buyer > 24 months
,D19_SAMMELARTIKEL_RZ,1,transactional activity based on the product group COLLECTABLE ITEMS  - on grid level -,7,[0],Prospects > 24 months
D19_SCHUHE_RZ,D19_SCHUHE_RZ,0,transactional activity based on the product group SHOES  - on grid level -,0,[0],no transaction known
,D19_SCHUHE_RZ,1,transactional activity based on the product group SHOES  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_SCHUHE_RZ,1,transactional activity based on the product group SHOES  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_SCHUHE_RZ,1,transactional activity based on the product group SHOES  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_SCHUHE_RZ,1,transactional activity based on the product group SHOES  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_SCHUHE_RZ,1,transactional activity based on the product group SHOES  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_SCHUHE_RZ,1,transactional activity based on the product group SHOES  - on grid level -,6,[0],Buyer > 24 months
,D19_SCHUHE_RZ,1,transactional activity based on the product group SHOES  - on grid level -,7,[0],Prospects > 24 months
D19_SONSTIGE_RZ,D19_SONSTIGE_RZ,0,transactional activity based on the product group ALL OTHER CATEGORIES  - on grid level -,0,[0],no transaction known
,D19_SONSTIGE_RZ,1,transactional activity based on the product group ALL OTHER CATEGORIES  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_SONSTIGE_RZ,1,transactional activity based on the product group ALL OTHER CATEGORIES  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_SONSTIGE_RZ,1,transactional activity based on the product group ALL OTHER CATEGORIES  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_SONSTIGE_RZ,1,transactional activity based on the product group ALL OTHER CATEGORIES  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_SONSTIGE_RZ,1,transactional activity based on the product group ALL OTHER CATEGORIES  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_SONSTIGE_RZ,1,transactional activity based on the product group ALL OTHER CATEGORIES  - on grid level -,6,[0],Buyer > 24 months
,D19_SONSTIGE_RZ,1,transactional activity based on the product group ALL OTHER CATEGORIES  - on grid level -,7,[0],Prospects > 24 months
D19_TECHNIK_RZ,D19_TECHNIK_RZ,0,transactional activity based on the product group TECHNOLOGY  - on grid level -,0,[0],no transaction known
,D19_TECHNIK_RZ,1,transactional activity based on the product group TECHNOLOGY  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_TECHNIK_RZ,1,transactional activity based on the product group TECHNOLOGY  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_TECHNIK_RZ,1,transactional activity based on the product group TECHNOLOGY  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_TECHNIK_RZ,1,transactional activity based on the product group TECHNOLOGY  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_TECHNIK_RZ,1,transactional activity based on the product group TECHNOLOGY  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_TECHNIK_RZ,1,transactional activity based on the product group TECHNOLOGY  - on grid level -,6,[0],Buyer > 24 months
,D19_TECHNIK_RZ,1,transactional activity based on the product group TECHNOLOGY  - on grid level -,7,[0],Prospects > 24 months
D19_TELKO_ANZ_12,D19_TELKO_ANZ_12,0,transaction activity TELCO in the last 12 months,0,[0],no transactions known
,D19_TELKO_ANZ_12,1,transaction activity TELCO in the last 12 months,1,[0],very low activity
,D19_TELKO_ANZ_12,1,transaction activity TELCO in the last 12 months,2,[0],low activity
,D19_TELKO_ANZ_12,1,transaction activity TELCO in the last 12 months,3,[0],slightly increased activity
,D19_TELKO_ANZ_12,1,transaction activity TELCO in the last 12 months,4,[0],increased activity
,D19_TELKO_ANZ_12,1,transaction activity TELCO in the last 12 months,5,[0],high activity
,D19_TELKO_ANZ_12,1,transaction activity TELCO in the last 12 months,6,[0],very high activity
D19_TELKO_ANZ_24,D19_TELKO_ANZ_24,0,transaction activity TELCO in the last 24 months,0,[0],no transactions known
,D19_TELKO_ANZ_24,1,transaction activity TELCO in the last 24 months,1,[0],very low activity
,D19_TELKO_ANZ_24,1,transaction activity TELCO in the last 24 months,2,[0],low activity
,D19_TELKO_ANZ_24,1,transaction activity TELCO in the last 24 months,3,[0],slightly increased activity
,D19_TELKO_ANZ_24,1,transaction activity TELCO in the last 24 months,4,[0],increased activity
,D19_TELKO_ANZ_24,1,transaction activity TELCO in the last 24 months,5,[0],high activity
,D19_TELKO_ANZ_24,1,transaction activity TELCO in the last 24 months,6,[0],very high activity
D19_TELKO_DATUM,D19_TELKO_DATUM,0,actuality of the last transaction for the segment telecommunication TOTAL,1,[10],highest activity within the last 12 months
,D19_TELKO_DATUM,1,actuality of the last transaction for the segment telecommunication TOTAL,2,[10],very high activity within the last 12 months
,D19_TELKO_DATUM,1,actuality of the last transaction for the segment telecommunication TOTAL,3,[10],high activity within the last 12 months
,D19_TELKO_DATUM,1,actuality of the last transaction for the segment telecommunication TOTAL,4,[10],increased activity within the last 12 months
,D19_TELKO_DATUM,1,actuality of the last transaction for the segment telecommunication TOTAL,5,[10],slightly increased activity within the last 12 months
,D19_TELKO_DATUM,1,actuality of the last transaction for the segment telecommunication TOTAL,6,[10],activity elder than 1 year
,D19_TELKO_DATUM,1,actuality of the last transaction for the segment telecommunication TOTAL,7,[10],"activity elder than 1,5 years"
,D19_TELKO_DATUM,1,actuality of the last transaction for the segment telecommunication TOTAL,8,[10],activity elder than 2 years
,D19_TELKO_DATUM,1,actuality of the last transaction for the segment telecommunication TOTAL,9,[10],activity elder than 3 years
,D19_TELKO_DATUM,1,actuality of the last transaction for the segment telecommunication TOTAL,10,[10],no transactions known
D19_TELKO_MOBILE_RZ,D19_TELKO_MOBILE_RZ,0,transactional activity based on the product group MOBILE COMMUNICATION  - on grid level -,0,[0],no transaction known
,D19_TELKO_MOBILE_RZ,1,transactional activity based on the product group MOBILE COMMUNICATION  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_TELKO_MOBILE_RZ,1,transactional activity based on the product group MOBILE COMMUNICATION  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_TELKO_MOBILE_RZ,1,transactional activity based on the product group MOBILE COMMUNICATION  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_TELKO_MOBILE_RZ,1,transactional activity based on the product group MOBILE COMMUNICATION  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_TELKO_MOBILE_RZ,1,transactional activity based on the product group MOBILE COMMUNICATION  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_TELKO_MOBILE_RZ,1,transactional activity based on the product group MOBILE COMMUNICATION  - on grid level -,6,[0],Buyer > 24 months
,D19_TELKO_MOBILE_RZ,1,transactional activity based on the product group MOBILE COMMUNICATION  - on grid level -,7,[0],Prospects > 24 months
D19_TELKO_OFFLINE_DATUM,D19_TELKO_OFFLINE_DATUM,0,actuality of the last transaction for the segment telecommunication OFFLINE,1,[10],highest activity within the last 12 months
,D19_TELKO_OFFLINE_DATUM,1,actuality of the last transaction for the segment telecommunication OFFLINE,2,[10],very high activity within the last 12 months
,D19_TELKO_OFFLINE_DATUM,1,actuality of the last transaction for the segment telecommunication OFFLINE,3,[10],high activity within the last 12 months
,D19_TELKO_OFFLINE_DATUM,1,actuality of the last transaction for the segment telecommunication OFFLINE,4,[10],increased activity within the last 12 months
,D19_TELKO_OFFLINE_DATUM,1,actuality of the last transaction for the segment telecommunication OFFLINE,5,[10],slightly increased activity within the last 12 months
,D19_TELKO_OFFLINE_DATUM,1,actuality of the last transaction for the segment telecommunication OFFLINE,6,[10],activity elder than 1 year
,D19_TELKO_OFFLINE_DATUM,1,actuality of the last transaction for the segment telecommunication OFFLINE,7,[10],"activity elder than 1,5 years"
,D19_TELKO_OFFLINE_DATUM,1,actuality of the last transaction for the segment telecommunication OFFLINE,8,[10],activity elder than 2 years
,D19_TELKO_OFFLINE_DATUM,1,actuality of the last transaction for the segment telecommunication OFFLINE,9,[10],activity elder than 3 years
,D19_TELKO_OFFLINE_DATUM,1,actuality of the last transaction for the segment telecommunication OFFLINE,10,[10],no transactions known
D19_TELKO_ONLINE_DATUM,D19_TELKO_ONLINE_DATUM,0,actuality of the last transaction for the segment telecommunication ONLINE,1,[10],highest activity within the last 12 months
,D19_TELKO_ONLINE_DATUM,1,actuality of the last transaction for the segment telecommunication ONLINE,2,[10],very high activity within the last 12 months
,D19_TELKO_ONLINE_DATUM,1,actuality of the last transaction for the segment telecommunication ONLINE,3,[10],high activity within the last 12 months
,D19_TELKO_ONLINE_DATUM,1,actuality of the last transaction for the segment telecommunication ONLINE,4,[10],increased activity within the last 12 months
,D19_TELKO_ONLINE_DATUM,1,actuality of the last transaction for the segment telecommunication ONLINE,5,[10],slightly increased activity within the last 12 months
,D19_TELKO_ONLINE_DATUM,1,actuality of the last transaction for the segment telecommunication ONLINE,6,[10],activity elder than 1 year
,D19_TELKO_ONLINE_DATUM,1,actuality of the last transaction for the segment telecommunication ONLINE,7,[10],"activity elder than 1,5 years"
,D19_TELKO_ONLINE_DATUM,1,actuality of the last transaction for the segment telecommunication ONLINE,8,[10],activity elder than 2 years
,D19_TELKO_ONLINE_DATUM,1,actuality of the last transaction for the segment telecommunication ONLINE,9,[10],activity elder than 3 years
,D19_TELKO_ONLINE_DATUM,1,actuality of the last transaction for the segment telecommunication ONLINE,10,[10],no transactions known
D19_TELKO_REST_RZ,D19_TELKO_REST_RZ,0,transactional activity based on the product group FURTHER MOBILE COMMUNICATION PRODUCTS  - on grid level -,0,[0],no transaction known
,D19_TELKO_REST_RZ,1,transactional activity based on the product group FURTHER MOBILE COMMUNICATION PRODUCTS  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_TELKO_REST_RZ,1,transactional activity based on the product group FURTHER MOBILE COMMUNICATION PRODUCTS  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_TELKO_REST_RZ,1,transactional activity based on the product group FURTHER MOBILE COMMUNICATION PRODUCTS  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_TELKO_REST_RZ,1,transactional activity based on the product group FURTHER MOBILE COMMUNICATION PRODUCTS  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_TELKO_REST_RZ,1,transactional activity based on the product group FURTHER MOBILE COMMUNICATION PRODUCTS  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_TELKO_REST_RZ,1,transactional activity based on the product group FURTHER MOBILE COMMUNICATION PRODUCTS  - on grid level -,6,[0],Buyer > 24 months
,D19_TELKO_REST_RZ,1,transactional activity based on the product group FURTHER MOBILE COMMUNICATION PRODUCTS  - on grid level -,7,[0],Prospects > 24 months
D19_TIERARTIKEL_RZ,D19_TIERARTIKEL_RZ,0,transactional activity based on the product group ANIMAL PRODUCTS  - on grid level -,0,[0],no transaction known
,D19_TIERARTIKEL_RZ,1,transactional activity based on the product group ANIMAL PRODUCTS  - on grid level -,1,[0],Multibuyer 0-12 months
,D19_TIERARTIKEL_RZ,1,transactional activity based on the product group ANIMAL PRODUCTS  - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_TIERARTIKEL_RZ,1,transactional activity based on the product group ANIMAL PRODUCTS  - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_TIERARTIKEL_RZ,1,transactional activity based on the product group ANIMAL PRODUCTS  - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_TIERARTIKEL_RZ,1,transactional activity based on the product group ANIMAL PRODUCTS  - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_TIERARTIKEL_RZ,1,transactional activity based on the product group ANIMAL PRODUCTS  - on grid level -,6,[0],Buyer > 24 months
,D19_TIERARTIKEL_RZ,1,transactional activity based on the product group ANIMAL PRODUCTS  - on grid level -,7,[0],Prospects > 24 months
D19_VERSAND_ANZ_12,D19_VERSAND_ANZ_12,0,transaction activity MAIL-ORDER in the last 12 months,0,[0],no transactions known
,D19_VERSAND_ANZ_12,1,transaction activity MAIL-ORDER in the last 12 months,1,[0],very low activity
,D19_VERSAND_ANZ_12,1,transaction activity MAIL-ORDER in the last 12 months,2,[0],low activity
,D19_VERSAND_ANZ_12,1,transaction activity MAIL-ORDER in the last 12 months,3,[0],slightly increased activity
,D19_VERSAND_ANZ_12,1,transaction activity MAIL-ORDER in the last 12 months,4,[0],increased activity
,D19_VERSAND_ANZ_12,1,transaction activity MAIL-ORDER in the last 12 months,5,[0],high activity
,D19_VERSAND_ANZ_12,1,transaction activity MAIL-ORDER in the last 12 months,6,[0],very high activity
D19_VERSAND_ANZ_24,D19_VERSAND_ANZ_24,0,transaction activity MAIL-ORDER in the last 24 months,0,[0],no transactions known
,D19_VERSAND_ANZ_24,1,transaction activity MAIL-ORDER in the last 24 months,1,[0],very low activity
,D19_VERSAND_ANZ_24,1,transaction activity MAIL-ORDER in the last 24 months,2,[0],low activity
,D19_VERSAND_ANZ_24,1,transaction activity MAIL-ORDER in the last 24 months,3,[0],slightly increased activity
,D19_VERSAND_ANZ_24,1,transaction activity MAIL-ORDER in the last 24 months,4,[0],increased activity
,D19_VERSAND_ANZ_24,1,transaction activity MAIL-ORDER in the last 24 months,5,[0],high activity
,D19_VERSAND_ANZ_24,1,transaction activity MAIL-ORDER in the last 24 months,6,[0],very high activity
D19_VERSAND_DATUM,D19_VERSAND_DATUM,0,actuality of the last transaction for the segment mail-order TOTAL,1,[10],highest activity within the last 12 months
,D19_VERSAND_DATUM,1,actuality of the last transaction for the segment mail-order TOTAL,2,[10],very high activity within the last 12 months
,D19_VERSAND_DATUM,1,actuality of the last transaction for the segment mail-order TOTAL,3,[10],high activity within the last 12 months
,D19_VERSAND_DATUM,1,actuality of the last transaction for the segment mail-order TOTAL,4,[10],increased activity within the last 12 months
,D19_VERSAND_DATUM,1,actuality of the last transaction for the segment mail-order TOTAL,5,[10],slightly increased activity within the last 12 months
,D19_VERSAND_DATUM,1,actuality of the last transaction for the segment mail-order TOTAL,6,[10],activity elder than 1 year
,D19_VERSAND_DATUM,1,actuality of the last transaction for the segment mail-order TOTAL,7,[10],"activity elder than 1,5 years"
,D19_VERSAND_DATUM,1,actuality of the last transaction for the segment mail-order TOTAL,8,[10],activity elder than 2 years
,D19_VERSAND_DATUM,1,actuality of the last transaction for the segment mail-order TOTAL,9,[10],activity elder than 3 years
,D19_VERSAND_DATUM,1,actuality of the last transaction for the segment mail-order TOTAL,10,[10],no transactions known
D19_VERSAND_OFFLINE_DATUM,D19_VERSAND_OFFLINE_DATUM,0,actuality of the last transaction for the segment mail-order OFFLINE,1,[10],highest activity within the last 12 months
,D19_VERSAND_OFFLINE_DATUM,1,actuality of the last transaction for the segment mail-order OFFLINE,2,[10],very high activity within the last 12 months
,D19_VERSAND_OFFLINE_DATUM,1,actuality of the last transaction for the segment mail-order OFFLINE,3,[10],high activity within the last 12 months
,D19_VERSAND_OFFLINE_DATUM,1,actuality of the last transaction for the segment mail-order OFFLINE,4,[10],increased activity within the last 12 months
,D19_VERSAND_OFFLINE_DATUM,1,actuality of the last transaction for the segment mail-order OFFLINE,5,[10],slightly increased activity within the last 12 months
,D19_VERSAND_OFFLINE_DATUM,1,actuality of the last transaction for the segment mail-order OFFLINE,6,[10],activity elder than 1 year
,D19_VERSAND_OFFLINE_DATUM,1,actuality of the last transaction for the segment mail-order OFFLINE,7,[10],"activity elder than 1,5 years"
,D19_VERSAND_OFFLINE_DATUM,1,actuality of the last transaction for the segment mail-order OFFLINE,8,[10],activity elder than 2 years
,D19_VERSAND_OFFLINE_DATUM,1,actuality of the last transaction for the segment mail-order OFFLINE,9,[10],activity elder than 3 years
,D19_VERSAND_OFFLINE_DATUM,1,actuality of the last transaction for the segment mail-order OFFLINE,10,[10],no transactions known
D19_VERSAND_ONLINE_DATUM,D19_VERSAND_ONLINE_DATUM,0,actuality of the last transaction for the segment mail-order ONLINE,1,[10],highest activity within the last 12 months
,D19_VERSAND_ONLINE_DATUM,1,actuality of the last transaction for the segment mail-order ONLINE,2,[10],very high activity within the last 12 months
,D19_VERSAND_ONLINE_DATUM,1,actuality of the last transaction for the segment mail-order ONLINE,3,[10],high activity within the last 12 months
,D19_VERSAND_ONLINE_DATUM,1,actuality of the last transaction for the segment mail-order ONLINE,4,[10],increased activity within the last 12 months
,D19_VERSAND_ONLINE_DATUM,1,actuality of the last transaction for the segment mail-order ONLINE,5,[10],slightly increased activity within the last 12 months
,D19_VERSAND_ONLINE_DATUM,1,actuality of the last transaction for the segment mail-order ONLINE,6,[10],activity elder than 1 year
,D19_VERSAND_ONLINE_DATUM,1,actuality of the last transaction for the segment mail-order ONLINE,7,[10],"activity elder than 1,5 years"
,D19_VERSAND_ONLINE_DATUM,1,actuality of the last transaction for the segment mail-order ONLINE,8,[10],activity elder than 2 years
,D19_VERSAND_ONLINE_DATUM,1,actuality of the last transaction for the segment mail-order ONLINE,9,[10],activity elder than 3 years
,D19_VERSAND_ONLINE_DATUM,1,actuality of the last transaction for the segment mail-order ONLINE,10,[10],no transactions known
D19_VERSAND_ONLINE_QUOTE_12,D19_VERSAND_ONLINE_QUOTE_12,0,amount of online transactions within all transactions in the segment mail-order,0,[0],no Online-transactions within the last 12 months
,D19_VERSAND_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment mail-order,1,[0],10% Online-transactions within the last 12 months
,D19_VERSAND_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment mail-order,2,[0],20% Online-transactions within the last 12 months
,D19_VERSAND_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment mail-order,3,[0],30% Online-transactions within the last 12 months
,D19_VERSAND_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment mail-order,4,[0],40% Online-transactions within the last 12 months
,D19_VERSAND_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment mail-order,5,[0],50% Online-transactions within the last 12 months
,D19_VERSAND_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment mail-order,6,[0],60% Online-transactions within the last 12 months
,D19_VERSAND_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment mail-order,7,[0],70% Online-transactions within the last 12 months
,D19_VERSAND_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment mail-order,8,[0],80% Online-transactions within the last 12 months
,D19_VERSAND_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment mail-order,9,[0],90% Online-transactions within the last 12 months
,D19_VERSAND_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment mail-order,10,[0],100% Online-transactions within the last 12 months
D19_VERSAND_REST_RZ,D19_VERSAND_REST_RZ,0,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES - on grid level -,0,[0],no transaction known
,D19_VERSAND_REST_RZ,1,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES - on grid level -,1,[0],Multibuyer 0-12 months
,D19_VERSAND_REST_RZ,1,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_VERSAND_REST_RZ,1,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_VERSAND_REST_RZ,1,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_VERSAND_REST_RZ,1,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_VERSAND_REST_RZ,1,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES - on grid level -,6,[0],Buyer > 24 months
,D19_VERSAND_REST_RZ,1,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES - on grid level -,7,[0],Prospects > 24 months
D19_VERSICHERUNGEN_RZ,D19_VERSICHERUNGEN_RZ,0,transactional activity based on the product group INSURANCES - on grid level -,0,[0],no transaction known
,D19_VERSICHERUNGEN_RZ,1,transactional activity based on the product group INSURANCES - on grid level -,1,[0],Multibuyer 0-12 months
,D19_VERSICHERUNGEN_RZ,1,transactional activity based on the product group INSURANCES - on grid level -,2,[0],Doublebuyer 0-12 months
